file1;file2;rabit-runtime;rabit-retcode;rabit-states_cnt;forklift-runtime;forklift-retcode;forklift-states_cnt;bait-runtime;bait-retcode;bait-states_cnt;kofola_fast-runtime;kofola_fast-retcode;kofola_fast-states_cnt;kofola_fast_early-runtime;kofola_fast_early-retcode;kofola_fast_early-states_cnt;kofola_fast_early_plus-runtime;kofola_fast_early_plus-retcode;kofola_fast_early_plus-states_cnt;kofola_fast_early_early_plus-runtime;kofola_fast_early_early_plus-retcode;kofola_fast_early_early_plus-states_cnt;autfilt_64-runtime;autfilt_64-retcode;autfilt_64-states_cnt
automata/rabit/included/bakery/bakeryA.hoa;automata/rabit/included/bakery/bakeryB.hoa;0.11;0;;0.14;0;;0.03;1;;0.18;1;;0.17;1;;0.17;1;;0.17;1;;2.7;1;
automata/rabit/included/bakery/bakeryB.hoa;automata/rabit/included/bakery/bakeryA.hoa;0.12;0;;0.16;0;;0.02;1;;0.17;1;;0.15;1;;0.18;1;;0.18;1;;2.66;1;
automata/rabit/included/bakeryv2/bakeryV2A.hoa;automata/rabit/included/bakeryv2/bakeryV2B.hoa;0.11;0;;0.11;0;;0.03;1;;8.03;0;;7.9;0;;8.18;0;;7.96;0;;1.84;0;
automata/rabit/included/bakeryv2/bakeryV2B.hoa;automata/rabit/included/bakeryv2/bakeryV2A.hoa;0.09;0;;0.12;0;;0.03;1;;7.93;0;;8.3;0;;8.2;0;;8.27;0;;2.01;0;
automata/rabit/included/fischer/fischerA.hoa;automata/rabit/included/fischer/fischerB.hoa;0.13;0;;0.12;0;;0.03;1;;12.25;0;;94.13;0;;96.55;0;;102.99;0;;0.49;0;
automata/rabit/included/fischer/fischerB.hoa;automata/rabit/included/fischer/fischerA.hoa;0.15;0;;0.13;0;;0.02;1;;0.33;1;;0.32;1;;0.32;1;;0.33;1;;0.02;1;
automata/rabit/included/fischerv2/fischerV2A.hoa;automata/rabit/included/fischerv2/fischerV2B.hoa;0.05;0;;0.07;0;;0.02;1;;0.06;0;;0.68;0;;0.73;0;;0.97;0;;0.01;0;
automata/rabit/included/fischerv2/fischerV2B.hoa;automata/rabit/included/fischerv2/fischerV2A.hoa;0.03;0;;0.06;0;;0.02;1;;0.03;0;;0.53;0;;0.57;0;;0.73;0;;0.01;0;
automata/rabit/included/fischerv3/fischerV3A.hoa;automata/rabit/included/fischerv3/fischerV3B.hoa;0.1;0;;0.1;0;;0.02;1;;0.04;0;;0.1;0;;0.11;0;;0.12;0;;0.02;0;
automata/rabit/included/fischerv3/fischerV3B.hoa;automata/rabit/included/fischerv3/fischerV3A.hoa;0.08;0;;0.11;0;;0.03;1;;0.04;0;;0.1;0;;0.11;0;;0.12;0;;0.02;0;
automata/rabit/included/fischerv4/fischerV4A.hoa;automata/rabit/included/fischerv4/fischerV4B.hoa;0.06;0;;0.09;0;;0.02;1;;14.09;0;;16.13;0;;16.31;0;;17.19;0;;2.32;0;
automata/rabit/included/fischerv4/fischerV4B.hoa;automata/rabit/included/fischerv4/fischerV4A.hoa;0.09;0;;0.06;0;;0.02;1;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.01;1;
automata/rabit/included/peterson/petersonA.hoa;automata/rabit/included/peterson/petersonB.hoa;0.03;0;;0.06;0;;0.03;1;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;
automata/rabit/included/peterson/petersonB.hoa;automata/rabit/included/peterson/petersonA.hoa;0.03;0;;0.05;0;;0.02;1;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.01;1;
automata/rabit/included/phils/philsA.hoa;automata/rabit/included/phils/philsB.hoa;0.07;0;;0.08;0;;0.03;1;;0.01;0;;0.01;0;;0.01;0;;0.02;0;;0.03;0;
automata/rabit/included/phils/philsB.hoa;automata/rabit/included/phils/philsA.hoa;0.06;0;;0.07;0;;0.02;1;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.0;1;
automata/rabit/notincluded/bakeryv3/bakeryV3A.hoa;automata/rabit/notincluded/bakeryv3/bakeryV3B.hoa;0.11;0;;0.14;0;;0.02;1;;0.08;1;;0.08;1;;0.09;1;;0.08;1;;0.19;1;
automata/rabit/notincluded/bakeryv3/bakeryV3B.hoa;automata/rabit/notincluded/bakeryv3/bakeryV3A.hoa;0.14;0;;0.14;0;;0.03;1;;0.07;1;;0.07;1;;0.08;1;;0.06;1;;1.76;1;
automata/rabit/notincluded/fischerv5/fischerV5A.hoa;automata/rabit/notincluded/fischerv5/fischerV5B.hoa;0.12;0;;0.12;0;;0.02;1;;0.33;1;;0.33;1;;0.33;1;;0.33;1;;0.02;1;
automata/rabit/notincluded/fischerv5/fischerV5B.hoa;automata/rabit/notincluded/fischerv5/fischerV5A.hoa;0.12;0;;0.13;0;;0.04;1;;12.66;0;;101.65;0;;99.92;0;;113.61;0;;0.48;0;
automata/rabit/notincluded/philsv2/philsV2A.hoa;automata/rabit/notincluded/philsv2/philsV2B.hoa;0.06;0;;0.08;0;;0.03;1;;0.0;1;;0.0;1;;0.01;1;;0.0;1;;0.01;1;
automata/rabit/notincluded/philsv2/philsV2B.hoa;automata/rabit/notincluded/philsv2/philsV2A.hoa;0.06;0;;0.06;0;;0.03;1;;0.01;0;;0.02;0;;0.02;0;;0.02;0;;0.03;0;
automata/rabit/notincluded/philsv3/philsV3A.hoa;automata/rabit/notincluded/philsv3/philsV3B.hoa;0.06;0;;0.06;0;;0.02;1;;0.0;1;;0.0;1;;0.0;1;;0.01;1;;0.01;1;
automata/rabit/notincluded/philsv3/philsV3B.hoa;automata/rabit/notincluded/philsv3/philsV3A.hoa;0.06;0;;0.06;0;;0.03;1;;0.03;0;;0.04;0;;0.03;0;;0.04;0;;0.04;0;
automata/rabit/notincluded/philsv4/philsV4A.hoa;automata/rabit/notincluded/philsv4/philsV4B.hoa;0.07;0;;0.06;0;;0.03;1;;0.04;1;;0.03;1;;0.04;1;;0.04;1;;0.05;1;
automata/rabit/notincluded/philsv4/philsV4B.hoa;automata/rabit/notincluded/philsv4/philsV4A.hoa;0.06;0;;0.08;0;;0.02;1;;0.32;0;;0.3;0;;0.3;0;;0.31;0;;0.04;0;
