file1;file2;kofola_no_preproc_cnt-runtime;kofola_no_preproc_cnt-retcode;kofola_no_preproc_cnt-states_cnt;kofola_no_preproc-runtime;kofola_no_preproc-retcode;kofola_no_preproc-states_cnt;autfilt_cnt-runtime;autfilt_cnt-retcode;autfilt_cnt-states_cnt;autfilt-runtime;autfilt-retcode;autfilt-states_cnt
automata/rabit/included/bakery/bakeryA.hoa;automata/rabit/included/bakery/bakeryB.hoa;18.13;1;3;16.4;1;;2.55;1;248151;2.27;1;
automata/rabit/included/bakeryv2/bakeryV2A.hoa;automata/rabit/included/bakeryv2/bakeryV2B.hoa;472.7;0;9989479;467.34;0;;1.74;0;51912;2.11;0;
automata/rabit/included/fischer/fischerA.hoa;automata/rabit/included/fischer/fischerB.hoa;61.98;0;221616;61.24;0;;0.43;0;3550;0.47;0;
automata/rabit/included/fischerv2/fischerV2A.hoa;automata/rabit/included/fischerv2/fischerV2B.hoa;ERR;ERR;ERR;ERR;0.01;0;1427;0.01;0;
automata/rabit/included/fischerv3/fischerV3A.hoa;automata/rabit/included/fischerv3/fischerV3B.hoa;ERR;ERR;ERR;ERR;0.02;0;1856;0.01;0;
automata/rabit/included/fischerv4/fischerV4A.hoa;automata/rabit/included/fischerv4/fischerV4B.hoa;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
automata/rabit/included/peterson/petersonA.hoa;automata/rabit/included/peterson/petersonB.hoa;0.0;0;31;0.0;0;;0.0;0;24;0.0;0;
automata/rabit/included/phils/philsA.hoa;automata/rabit/included/phils/philsB.hoa;0.09;0;402;0.08;0;;0.04;0;201;0.02;0;
automata/rabit/notincluded/bakeryv3/bakeryV3A.hoa;automata/rabit/notincluded/bakeryv3/bakeryV3B.hoa;18.11;1;11;16.39;1;;0.19;1;1149;0.19;1;
automata/rabit/notincluded/fischerv5/fischerV5A.hoa;automata/rabit/notincluded/fischerv5/fischerV5B.hoa;2.44;1;4484;2.37;1;;0.02;1;7219;0.01;1;
automata/rabit/notincluded/philsv2/philsV2A.hoa;automata/rabit/notincluded/philsv2/philsV2B.hoa;0.02;1;15;0.01;1;;0.0;1;780;0.0;1;
automata/rabit/notincluded/philsv3/philsV3A.hoa;automata/rabit/notincluded/philsv3/philsV3B.hoa;0.01;1;17;0.02;1;;0.0;1;780;0.0;1;
automata/rabit/notincluded/philsv4/philsV4A.hoa;automata/rabit/notincluded/philsv4/philsV4B.hoa;0.16;1;1985;0.15;1;;0.06;1;29539;0.03;1;
